country,2016_Q3,2016_Q4,2016 Net Cumulative,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2017 Net Cumulative,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2018 Net Cumulative,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2019 Net Cumulative ,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2020 Net Cumulative,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2021 Net Cumulative,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022 Net Cumulative,2023_Q1,2023_Q2,  2023_Q3  , 2023_Q4 ,2023 Net Cumulative,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2024 Net Cumulative
Albania,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Antigua and Barbuda,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5 ,  5 ,  5 ,  5 ,  5 ,  5 ,  5 ,  -   ,  5 ,  5 ,  5 ,  5 ,  -   ,5,5,5,5,  -   
Argentina,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  129 ,  129 ,  129 ,  129 ,  129 ,  129 ,  -   ,  620 ,  1921 ,  1921 ,  1921 ,  1792 ,1921,3927,3927,3927,  2006 
Armenia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  43 ,  43 ,  43 ,  43 ,43,77,77,77,  34 
Australia,  -   ,  318 ,  318 ,  318 ,  3084 ,  8225 ,  13496 ,  13178 ,  14373 ,  15295 ,  15295 ,  17429 ,  3933 ,  18209 ,  18530 ,  18530 ,  26520 ,  9091 ,  26520 ,  26520 ,  37707 ,  37707 ,  11187 ,  37707 ,  44798 ,  44798 ,  44798 ,  7091 ,  49355 ,  51898 ,  51898 ,  56994 ,  12196 ,  62632 ,  62632 ,  68251 ,  68251 ,  11257 ,68251,74597,80254,80254,  12003 
Austria,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  757 ,  757 ,  757 ,  757 ,  757 ,  757 ,  757 ,  -   ,  757 ,  757 ,  757 ,  757 ,  -   ,  757 ,  757 ,  757 ,  757 ,  -   ,  757 ,  757 ,  757 ,  757 ,  -   ,757,757,757,757,  -   
Azerbaijan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  19 ,  19 ,  19 ,  19 ,19,100,100,100,  81 
Bahamas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  23 ,  23 ,  23 ,  23 ,  23 ,  23 ,  85 ,  85 ,  62 ,  85 ,  85 ,  118 ,  118 ,  33 ,  118 ,  118 ,  118 ,  118 ,  -   ,  118 ,  138 ,  138 ,  138 ,  20 ,138,138,138,138,  -   
Bangladesh,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  206 ,  206 ,  206 ,  206 ,206,206,206,206,  -   
Barbados,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  74 ,  94 ,  109 ,  130 ,  130 ,  130 ,  130 ,  151 ,  151 ,  21 ,  151 ,  161 ,  161 ,  161 ,  10 ,  190 ,  190 ,  190 ,  190 ,  29 ,  190 ,  466 ,  466 ,  466 ,  276 ,466,466,466,466,  -   
Belarus,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  123 ,  123 ,  123 ,  123 ,  123 ,  123 ,  123 ,  -   ,  123 ,  123 ,  123 ,  123 ,  -   ,123,236,236,236,  113 
Belgium,  -   ,  128 ,  128 ,  128 ,  200 ,  200 ,  200 ,  72 ,  1000 ,  1300 ,  1300 ,  1300 ,  1100 ,  1300 ,  1300 ,  1300 ,  1300 ,  -   ,  1300 ,  1300 ,  1300 ,  1300 ,  -   ,  2318 ,  2318 ,  2318 ,  2318 ,  1018 ,  2318 ,  2318 ,  2318 ,  2318 ,  -   ,  2318 ,  5277 ,  5277 ,  5277 ,  2959 ,5277,6934,6934,6934,  1657 
Belize,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  7 ,  7 ,  7 ,7,68,68,68,  61 
Benin,  -   ,  256 ,  256 ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  613 ,  357 ,  652 ,  1053 ,  1297 ,  1750 ,  1137 ,2087,2441,3087,3087,  1337 
