,country,country_code,year,HIV_total,HIV_new,ART_coverage_pct,chlamydia_cases,syphilis_cases,prep_users_cumulative
300,Australia,AUS,2010,20000.0,1000.0,62.0,,,
301,Australia,AUS,2011,21000.0,1000.0,65.0,,,
302,Australia,AUS,2012,22000.0,1000.0,68.0,,,
303,Australia,AUS,2013,23000.0,980.0,73.0,83819.0,1719.0,
304,Australia,AUS,2014,24000.0,950.0,76.0,86799.0,2039.0,
305,Australia,AUS,2015,24000.0,920.0,80.0,86397.0,2777.0,
306,Australia,AUS,2016,25000.0,880.0,81.0,94725.0,3380.0,318.0
307,Australia,AUS,2017,26000.0,840.0,83.0,101216.0,4402.0,13496.0
308,Australia,AUS,2018,27000.0,790.0,83.0,104763.0,5059.0,17429.0
309,Australia,AUS,2019,28000.0,730.0,84.0,107238.0,5900.0,26520.0
310,Australia,AUS,2020,29000.0,660.0,85.0,91327.0,5355.0,37707.0
311,Australia,AUS,2021,29000.0,580.0,85.0,87258.0,5754.0,44798.0
312,Australia,AUS,2022,30000.0,500.0,86.0,93777.0,6036.0,56994.0
405,Burundi,BDI,2010,97000.0,4500.0,23.0,,,
406,Burundi,BDI,2011,95000.0,3800.0,28.0,,,
407,Burundi,BDI,2012,93000.0,3500.0,31.0,,,
408,Burundi,BDI,2013,92000.0,3100.0,36.0,,,
409,Burundi,BDI,2014,90000.0,3000.0,41.0,,,
410,Burundi,BDI,2015,86000.0,2800.0,49.0,,,
411,Burundi,BDI,2016,84000.0,2200.0,61.0,,,
412,Burundi,BDI,2017,82000.0,1900.0,69.0,,,
413,Burundi,BDI,2018,82000.0,1500.0,75.0,,,
414,Burundi,BDI,2019,82000.0,1500.0,83.0,,,
415,Burundi,BDI,2020,81000.0,1400.0,86.0,,,
416,Burundi,BDI,2021,80000.0,1500.0,88.0,,,601.0
417,Burundi,BDI,2022,80000.0,1400.0,90.0,,,1908.0
418,Burundi,BDI,2023,80000.0,1300.0,91.0,,,6181.0
419,Burundi,BDI,2024,79000.0,1400.0,93.0,,,10508.0
834,Brazil,BRA,2010,490000.0,51000.0,50.0,,,
835,Brazil,BRA,2011,530000.0,55000.0,51.0,,,
836,Brazil,BRA,2012,570000.0,59000.0,53.0,,,
837,Brazil,BRA,2013,620000.0,62000.0,56.0,,,
838,Brazil,BRA,2014,660000.0,65000.0,59.0,,,
839,Brazil,BRA,2015,710000.0,67000.0,63.0,,,
840,Brazil,BRA,2016,770000.0,68000.0,64.0,,,409.0
841,Brazil,BRA,2017,820000.0,69000.0,66.0,,,620.0
842,Brazil,BRA,2018,870000.0,69000.0,68.0,,,4181.0
843,Brazil,BRA,2019,920000.0,68000.0,69.0,,,20085.0
