,country,country_code,year,HIV_total,HIV_new,HIV_new_per1000,ART_coverage_pct,HIV_tests,chlamydia_cases,syphilis_cases,prep_users_cumulative
440,Belgium,BEL,2010,12000.0,700.0,0.1,78.0,,3310.0,586.0,
441,Belgium,BEL,2011,13000.0,690.0,0.1,83.0,,3566.0,613.0,
442,Belgium,BEL,2012,13000.0,670.0,0.1,80.0,,4675.0,658.0,
443,Belgium,BEL,2013,14000.0,630.0,0.1,83.0,,4983.0,867.0,
444,Belgium,BEL,2014,15000.0,590.0,0.1,84.0,,5496.0,872.0,
445,Belgium,BEL,2015,15000.0,550.0,0.1,87.0,,6159.0,892.0,
446,Belgium,BEL,2016,16000.0,500.0,0.1,88.0,,7353.0,1531.0,128.0
447,Belgium,BEL,2017,16000.0,500.0,0.1,89.0,,8093.0,1493.0,200.0
448,Belgium,BEL,2018,17000.0,500.0,0.1,90.0,,9294.0,1901.0,1300.0
449,Belgium,BEL,2019,17000.0,500.0,0.1,88.0,,8288.0,1670.0,1300.0
450,Belgium,BEL,2020,17000.0,500.0,0.1,87.0,,5692.0,1407.0,1300.0
451,Belgium,BEL,2021,18000.0,500.0,0.1,88.0,,9381.0,2113.0,2318.0
452,Belgium,BEL,2022,18000.0,500.0,0.1,88.0,,9081.0,2191.0,2318.0
453,Belgium,BEL,2023,19000.0,500.0,0.1,88.0,,10179.0,2545.0,5277.0
1946,Spain,ESP,2010,140000.0,3500.0,0.1,65.0,,947.0,3187.0,
1947,Spain,ESP,2011,140000.0,3500.0,0.1,66.0,,1059.0,3522.0,
1948,Spain,ESP,2012,140000.0,3500.0,0.1,69.0,,1033.0,3641.0,
1949,Spain,ESP,2013,140000.0,3400.0,0.1,71.0,,1513.0,3723.0,
1950,Spain,ESP,2014,140000.0,3400.0,0.1,73.0,,2225.0,3568.0,
1951,Spain,ESP,2015,140000.0,3300.0,0.1,75.0,,3564.0,3756.0,
1952,Spain,ESP,2016,140000.0,3300.0,0.1,82.0,,7303.0,3356.0,
1953,Spain,ESP,2017,150000.0,3300.0,0.1,83.0,,9478.0,4941.0,
1954,Spain,ESP,2018,150000.0,3300.0,0.1,85.0,,12847.0,4826.0,1285.0
1955,Spain,ESP,2019,150000.0,3300.0,0.1,85.0,,15612.0,4880.0,1700.0
1956,Spain,ESP,2020,150000.0,3300.0,0.1,87.0,,15254.0,4531.0,2153.0
1957,Spain,ESP,2021,150000.0,3300.0,0.1,88.0,,20597.0,5277.0,2887.0
1958,Spain,ESP,2022,160000.0,3300.0,0.1,90.0,,28824.0,8365.0,2887.0
1959,Spain,ESP,2023,160000.0,3200.0,0.1,,,36967.0,10591.0,18000.0
1981,Estonia,EST,2010,5400.0,500.0,0.19,34.0,,1729.0,69.0,
1982,Estonia,EST,2011,5500.0,500.0,0.16,40.0,,1775.0,66.0,
1983,Estonia,EST,2012,5600.0,200.0,0.14,45.0,,1624.0,40.0,
1984,Estonia,EST,2013,5700.0,200.0,0.12,47.0,,1580.0,39.0,
1985,Estonia,EST,2014,5800.0,200.0,0.1,52.0,,1558.0,35.0,
1986,Estonia,EST,2015,5900.0,200.0,0.1,60.0,,1338.0,25.0,
1987,Estonia,EST,2016,6000.0,200.0,0.1,65.0,,1242.0,28.0,
1988,Estonia,EST,2017,6100.0,100.0,0.1,68.0,,1132.0,34.0,
1989,Estonia,EST,2018,6200.0,100.0,0.1,71.0,,1013.0,27.0,
1990,Estonia,EST,2019,6200.0,100.0,0.1,72.0,,1064.0,37.0,
1991,Estonia,EST,2020,6300.0,100.0,0.1,71.0,,942.0,33.0,
1992,Estonia,EST,2021,6300.0,100.0,0.1,70.0,,977.0,31.0,
1993,Estonia,EST,2022,6500.0,100.0,0.1,69.0,,1032.0,39.0,
1994,Estonia,EST,2023,6500.0,100.0,0.1,,,985.0,50.0,
2051,Finland,FIN,2010,,,,,,12825.0,200.0,
